supplier_id,name,category,city,region,product_description,min_order_kg,price_per_kg,certifications,delivery,coverage_region,contact_name,phone,email,website,source,notes,orders_count
S001,Северный Урожай,Овощи,Санкт-Петербург,Ленинградская область,"Овощи свежие: картофель, морковь, свекла, лук, капуста. Оптовые поставки для ресторанов и производств.",100,68,Декларации соответствия; фитосанитарные документы,Собственный рефрижератор; 1-2 дня,Санкт-Петербург; Ленинградская область; Карелия,Анна Морозова,+7 000 000-00-01,anna@supplier-demo.example,www.supplier-demo.example/s001,Демонстрационный датасет,Фасовка 5-25 кг; регулярные отгрузки,420
S002,Эко Томаты,Овощи,Москва,Москва,"Томаты, огурцы, перцы и зелень. Фокус на тепличную продукцию и стабильные поставки круглый год.",50,145,Декларации соответствия,Доставка 24-48 часов по Москве и МО,Москва; Московская область,Илья Петров,+7 000 000-00-02,ilya@supplier-demo.example,www.supplier-demo.example/s002,Демонстрационный датасет,Есть охлажденная доставка и возврат брака,615
S003,Фермерский Полюс,Овощи,Воронеж,Воронежская область,"Картофель, лук, морковь, капуста и сезонные овощи от фермерских хозяйств.",200,59,Фитосанитарные документы,Доставка 2-3 дня; транспорт поставщика,Центральный федеральный округ,Мария Белова,+7 000 000-00-03,maria@supplier-demo.example,www.supplier-demo.example/s003,Демонстрационный датасет,Подходит для крупных еженедельных заказов,280
S004,Green Market,Овощи,Краснодар,Краснодарский край,"Тепличные и сезонные овощи: томаты, огурцы, баклажаны, кабачки, перец.",80,132,Декларации соответствия; ХАССП на производственной площадке,Доставка 1-2 дня; рефрижератор,Краснодарский край; Ростовская область; Москва,Ольга Климова,+7 000 000-00-04,olga@supplier-demo.example,www.supplier-demo.example/s004,Демонстрационный датасет,Можно согласовать mixed-паллеты,510
S005,ЗерноХолдинг,Крупы и бакалея,Москва,Москва,"Крупы, мука, бобовые, сахар и сухие ингредиенты для пищевого производства.",300,76,Декларации соответствия; ISO 22000,Доставка 2-5 дней,Россия,Сергей Орлов,+7 000 000-00-05,sergey@supplier-demo.example,www.supplier-demo.example/s005,Демонстрационный датасет,Есть оптовый прайс и отсрочка для постоянных клиентов,760
S006,Вкус Опт,Крупы и бакалея,Екатеринбург,Свердловская область,"Рис, гречка, овсянка, чечевица, нут, мука и сахар для HoReCa.",100,89,Декларации соответствия,Доставка 1-3 дня по Уралу,Свердловская область; Челябинская область; Тюменская область,Павел Смирнов,+7 000 000-00-06,pavel@supplier-demo.example,www.supplier-demo.example/s006,Демонстрационный датасет,Гибкая фасовка под B2B,340
S007,Белая Мельница,Крупы и бакалея,Нижний Новгород,Нижегородская область,"Пшеничная и ржаная мука, сухие смеси, крупы. Поставки для пекарен и производства.",500,52,Декларации соответствия; FSSC 22000,Доставка 2-4 дня; транспорт поставщика,Приволжский федеральный округ,Наталья Лебедева,+7 000 000-00-07,natalia@supplier-demo.example,www.supplier-demo.example/s007,Демонстрационный датасет,Минимальная партия зависит от вида товара,890
S008,Органик Сфера,Крупы и бакалея,Казань,Татарстан,"Органические крупы, бобовые, семена и продукты для здорового питания.",50,118,Органик; декларации соответствия,Доставка 2-4 дня,Россия,Роман Сафиуллин,+7 000 000-00-08,roman@supplier-demo.example,www.supplier-demo.example/s008,Демонстрационный датасет,Подходит для organic-линеек,455
S009,Молочный Дом,Молочная продукция,Москва,Москва,"Сливки, молоко, сметана, творог и кисломолочная продукция для HoReCa и food production.",100,105,Декларации соответствия; ХАССП,Охлаждаемая доставка ежедневно,Москва; Московская область,Елена Соколова,+7 000 000-00-09,elena@supplier-demo.example,www.supplier-demo.example/s009,Демонстрационный датасет,Возможны ежедневные поставки,320
S010,Ферма Волга,Молочная продукция,Самара,Самарская область,"Молоко, сливки, масло, творог и сыр для кафе, ресторанов и производств.",150,98,Ветеринарные документы; декларации соответствия,Охлаждаемая доставка 2-3 дня,Самарская область; Ульяновская область; Татарстан,Алексей Волков,+7 000 000-00-10,alexey@supplier-demo.example,www.supplier-demo.example/s010,Демонстрационный датасет,Работает с регулярными заказами,540
